V,Instance,payoff,a,d,eta,epsilon,gamma,numNE,epx,time,equilibrium,maxWelfareA,maxWelfareD,SocialWelfare,PayoffD,PayoffA,PoSocialWelfare,PoSecurity,PoAggressivity,epx,traffic,degradation,num_iterations,num_dominance,num_equilibrium
10-,10-13,OBJ.Attacker,0.03,0.75,0.6,0.75,0.1,0.48,1,0.03541970252990720,"{'PayoffD': 373.8, 'PayoffA': -18.7, 'SocialWelfare': 355.1, 'x': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'alpha': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'traffic': 121.2, 'degradation': 1, 'epx': 0.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.003, 'PoSocialWelfare': 1.006, 'encoding_x': '4.0', 'encoding_alpha': '4.0'}",0.7000000000000020,375.0,357.14,373.8,-18.7,1.006,1.003,2.03743315508021,0.0,121.2,1,2,0,4
10-,10-13,OBJ.Defender,0.03,0.75,0.6,0.75,0.1,0.48,1,0.026635169982910200,"{'PayoffD': 373.8, 'PayoffA': -18.7, 'SocialWelfare': 355.1, 'x': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'alpha': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'traffic': 121.2, 'degradation': 1, 'epx': 0.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.003, 'PoSocialWelfare': 1.006, 'encoding_x': '4.0', 'encoding_alpha': '4.0'}",0.7000000000000020,375.0,357.14,373.8,-18.7,1.006,1.003,2.03743315508021,0.0,121.2,1,2,0,4
10-,10-14,OBJ.Attacker,0.1,0.75,0.6,0.75,0.1,0.48,1,0.0446925163269043,"{'PayoffD': 364.18, 'PayoffA': -1.8000000000000014, 'SocialWelfare': 362.38, 'x': array([0., 0., 0., 0., 0., 0., 0., 1., 1., 0.]), 'alpha': array([0., 0., 0., 0., 1., 0., 0., 0., 0., 0.]), 'traffic': 114.28, 'degradation': 6, 'epx': 5.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.03, 'PoSocialWelfare': 1.003, 'encoding_x': '6.0', 'encoding_alpha': '32.0'}",13.600000000000000,375.0,363.58,364.18,-1.8000000000000000,1.003,1.03,9.55555555555556,5.0,114.28,6,4,0,10
10-,10-14,OBJ.Defender,0.1,0.75,0.6,0.75,0.1,0.48,1,0.04662156105041500,"{'PayoffD': 367.36, 'PayoffA': -9.200000000000003, 'SocialWelfare': 358.16, 'x': array([0., 0., 0., 0., 1., 0., 0., 0., 0., 0.]), 'alpha': array([1., 0., 0., 0., 0., 0., 0., 0., 0., 0.]), 'traffic': 116.13, 'degradation': 5, 'epx': 5.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.021, 'PoSocialWelfare': 1.015, 'encoding_x': '32.0', 'encoding_alpha': '512.0'}",13.600000000000000,375.0,363.58,367.36,-9.200000000000000,1.015,1.021,3.478260869565220,5.0,116.13,5,4,0,6
10-,10-15,OBJ.Attacker,0.3,0.75,0.6,0.75,0.1,0.48,1,0.051831960678100600,"{'PayoffD': 263.21000000000004, 'PayoffA': 45.6, 'SocialWelfare': 308.81000000000006, 'x': array([1., 1., 0., 0., 0., 0., 0., 0., 0., 0.]), 'alpha': array([0., 1., 0., 1., 0., 0., 0., 0., 0., 0.]), 'traffic': 101.30000000000001, 'degradation': 17, 'epx': 5.0, 'PoAggressivity': 1.001, 'PoSecurity': 1.425, 'PoSocialWelfare': 1.234, 'encoding_x': '768.0', 'encoding_alpha': '320.0'}",102.00000000000000,375.0,380.98000000000000,263.21000000000000,45.6,1.234,1.425,2.23684210526316,5.0,101.30000000000000,17,4,0,10
10-,10-15,OBJ.Defender,0.3,0.75,0.6,0.75,0.1,0.48,1,0.048947811126709000,"{'PayoffD': 269.12, 'PayoffA': 40.300000000000004, 'SocialWelfare': 309.42, 'x': array([0., 1., 0., 0., 0., 0., 0., 0., 0., 0.]), 'alpha': array([0., 1., 0., 0., 1., 0., 0., 1., 0., 0.]), 'traffic': 106.44, 'degradation': 13, 'epx': 5.0, 'PoAggressivity': 1.001, 'PoSecurity': 1.393, 'PoSocialWelfare': 1.231, 'encoding_x': '256.0', 'encoding_alpha': '292.0'}",102.00000000000000,375.0,380.98000000000000,269.12,40.300000000000000,1.231,1.393,2.53101736972705,5.0,106.44,13,4,1,10
10-,10-16,OBJ.Attacker,0.03,0.3,0.8,1.0,0.1,0.6400000000000000,1,0.040493011474609400,"{'PayoffD': 374.4, 'PayoffA': -9.899999999999999, 'SocialWelfare': 364.5, 'x': array([1., 1., 0., 0., 0., 0., 0., 1., 1., 0.]), 'alpha': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'traffic': 121.6, 'degradation': 0, 'epx': 0.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.002, 'PoSocialWelfare': 1.009, 'encoding_x': '774.0', 'encoding_alpha': '4.0'}",-6.000000000000000,375.0,367.92,374.4,-9.900000000000000,1.009,1.002,1.393939393939390,0.0,121.6,0,2,0,2
10-,10-16,OBJ.Defender,0.03,0.3,0.8,1.0,0.1,0.6400000000000000,1,0.026698827743530300,"{'PayoffD': 374.4, 'PayoffA': -19.5, 'SocialWelfare': 354.9, 'x': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'alpha': array([0., 0., 0., 0., 0., 0., 0., 1., 0., 0.]), 'traffic': 121.6, 'degradation': 0, 'epx': 0.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.002, 'PoSocialWelfare': 1.037, 'encoding_x': '4.0', 'encoding_alpha': '4.0'}",-6.000000000000000,375.0,367.92,374.4,-19.5,1.037,1.002,1.69230769230769,0.0,121.6,0,2,0,4
10-,10-17,OBJ.Attacker,0.1,0.3,0.8,1.0,0.1,0.6400000000000000,1,0.06626558303833010,"{'PayoffD': 369.24, 'PayoffA': 6.8, 'SocialWelfare': 376.04, 'x': array([0., 1., 0., 0., 0., 0., 1., 0., 1., 0.]), 'alpha': array([0., 0., 0., 0., 1., 0., 0., 0., 0., 0.]), 'traffic': 118.04, 'degradation': 3, 'epx': 5.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.016, 'PoSocialWelfare': 1.0, 'encoding_x': '266.0', 'encoding_alpha': '32.0'}",6.9,375.0,376.14,369.24,6.8,1.0,1.016,1.0,5.0,118.04,3,7,0,20
10-,10-17,OBJ.Defender,0.1,0.3,0.8,1.0,0.1,0.6400000000000000,1,0.06974959373474120,"{'PayoffD': 375.0, 'PayoffA': -16.1, 'SocialWelfare': 358.9, 'x': array([1., 0., 0., 0., 1., 0., 1., 0., 1., 0.]), 'alpha': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]), 'traffic': 122.0, 'degradation': 0, 'epx': 5.0, 'PoAggressivity': 1.0, 'PoSecurity': 1.0, 'PoSocialWelfare': 1.048, 'encoding_x': '554.0', 'encoding_alpha': '0.0'}",6.9,375.0,376.14,375.0,-16.1,1.048,1.0,2.4,5.0,122.0,0,6,0,16
